uid,suspects,refuses,confirmado,deads,local,cases,comments,broadcast,date,time,uf_x,uf_y
26,6,14,0,0,,0,,,07/03/2020,18:35,PE,PE
27,7,1,0,0,,0,,,07/03/2020,18:35,AL,AL
28,1,1,0,0,,0,,,07/03/2020,18:35,SE,SE
29,15,32,0,0,,2,,,07/03/2020,18:35,BA,BA
31,123,17,0,0,,0,,,07/03/2020,18:35,MG,MG
32,1,12,0,0,,1,,,07/03/2020,18:35,ES,ES
33,111,67,0,0,,2,,,07/03/2020,18:35,RJ,RJ
35,184,246,0,0,,13,1 Portador assintomático,,07/03/2020,18:35,SP,SP
41,20,18,0,0,,0,,,07/03/2020,18:35,PR,PR
42,44,25,0,0,,0,,,07/03/2020,18:35,SC,SC
